UserId,MovieId,Rating
1,595,5.0
1,1270,5.0
1,3105,5.0
1,1246,4.0
1,2321,3.0
1,2804,5.0
1,1962,4.0
1,1035,5.0
1,1545,4.0
1,608,4.0
1,2762,4.0
2,1442,4.0
2,1385,3.0
2,3255,4.0
2,3071,4.0
2,1962,5.0
2,3068,4.0
2,2858,4.0
2,2126,3.0
2,1537,4.0
2,3108,3.0
2,1096,4.0
2,380,5.0
2,1597,3.0
2,2943,4.0
2,1196,5.0
2,1953,4.0
2,2571,4.0
2,1247,5.0
2,434,2.0
2,1084,3.0
2,3334,4.0
2,1527,4.0
2,1213,2.0
2,1124,5.0
2,1873,4.0
2,457,4.0
3,1079,5.0
3,1049,4.0
3,3619,2.0
3,2081,4.0
3,2858,4.0
3,1210,4.0
3,2617,2.0
3,1259,5.0
3,733,5.0
3,1304,5.0
4,1954,5.0
4,2366,4.0
4,2947,5.0
4,2028,5.0
5,562,4.0
5,265,3.0
5,1885,4.0
5,1747,2.0
5,2282,3.0
5,3081,3.0
5,2806,2.0
5,52,2.0
5,356,1.0
5,3083,5.0
5,800,2.0
5,1923,3.0
5,1250,5.0
5,1268,2.0
5,2683,3.0
5,1897,4.0
5,3476,3.0
5,2560,4.0
5,3624,3.0
5,3499,3.0
5,2333,4.0
5,1192,5.0
5,1449,4.0
5,2890,4.0
5,1733,3.0
5,1643,3.0
5,608,4.0
5,2599,5.0
5,2725,2.0
5,162,4.0
5,1721,1.0
5,714,4.0
5,506,4.0
5,32,4.0
5,2717,1.0
5,1719,3.0
5,2916,1.0
5,968,3.0
5,497,3.0
5,1715,4.0
6,1959,3.0
6,1210,3.0
6,2006,4.0
6,1296,3.0
6,569,4.0
6,1101,4.0
6,1088,5.0
6,590,3.0
6,3717,4.0
6,597,5.0
6,377,3.0
6,2396,4.0
6,1188,4.0
6,1441,4.0
7,6,4.0
7,377,3.0
7,380,5.0
7,480,4.0
7,3753,4.0
7,589,5.0
8,1573,4.0
8,1621,3.0
8,1678,5.0
8,2291,5.0
8,3386,3.0
8,1673,5.0
8,2427,5.0
8,4,3.0
8,269,4.0
8,2541,3.0
8,2336,3.0
8,527,4.0
8,2490,2.0
8,288,5.0
8,1836,4.0
8,17,4.0
8,337,5.0
8,3481,4.0
8,908,5.0
8,3173,2.0
8,2320,2.0
8,36,4.0
8,1476,3.0
8,1357,4.0
8,480,5.0
8,3500,3.0
8,111,5.0
8,266,4.0
9,1669,3.0
9,162,4.0
9,3513,3.0
9,1233,3.0
9,1466,4.0
9,1784,3.0
9,3948,3.0
9,1393,3.0
9,1265,4.0
9,3623,4.0
9,25,4.0
9,838,3.0
9,3408,4.0
9,480,4.0
9,2858,4.0
9,1210,4.0
9,3253,4.0
9,2278,4.0
9,3916,3.0
9,1923,5.0
9,1961,5.0
10,357,5.0
10,2872,4.0
10,3198,3.0
10,954,5.0
10,2115,5.0
10,2396,5.0
10,2948,4.0
10,62,5.0
10,2762,5.0
10,1375,4.0
10,7,4.0
10,2193,5.0
10,3701,3.0
10,3175,5.0
10,520,4.0
10,1357,5.0
10,2067,3.0
10,648,4.0
10,1408,4.0
10,1276,3.0
10,2693,5.0
10,3296,4.0
10,1129,4.0
10,2657,4.0
10,2529,4.0
10,1409,5.0
10,116,3.0
10,2797,5.0
10,2858,3.0
10,1253,5.0
10,2011,4.0
10,1923,5.0
10,2436,5.0
10,918,5.0
10,1148,5.0
10,2043,5.0
10,2094,4.0
10,2371,4.0
10,3347,5.0
10,2015,5.0
10,2423,5.0
10,1265,5.0
10,802,5.0
10,1954,3.0
10,924,3.0
10,2047,4.0
10,920,5.0
10,3481,4.0
10,590,5.0
10,2137,4.0
10,3189,4.0
10,48,4.0
10,3809,5.0
10,3501,5.0
10,2378,3.0
10,914,5.0
10,2294,4.0
10,3702,3.0
10,2006,3.0
10,1584,5.0
10,2791,4.0
10,3174,4.0
10,339,5.0
10,830,5.0
10,2316,4.0
10,1088,5.0
10,2081,5.0
10,2105,5.0
10,1921,4.0
10,1079,5.0
10,2407,5.0
10,3108,5.0
10,2049,5.0
10,1257,5.0
10,923,3.0
10,1918,3.0
10,2087,5.0
10,1704,5.0
10,1220,4.0
10,1356,5.0
11,1307,3.0
11,2329,5.0
11,788,1.0
11,986,1.0
11,3396,1.0
11,318,5.0
11,104,5.0
11,1665,2.0
11,1682,1.0
11,342,3.0
11,3448,4.0
11,216,4.0
11,1777,4.0
11,3249,1.0
11,1136,4.0
11,110,3.0
11,3809,5.0
11,994,5.0
11,47,3.0
11,480,4.0
11,1244,4.0
11,597,3.0
11,1394,4.0
11,3178,4.0
11,590,3.0
11,1701,4.0
11,3174,2.0
12,2804,5.0
12,858,5.0
12,111,5.0
12,999,4.0
12,3897,4.0
13,1479,3.0
