9.867319545199999993e+03,4.933659772600000724e+04,9.867319545199999993e+04,1.480097931779999926e+05,1.973463909040000290e+05
1.386093780749999860e+04,6.930468903750000754e+04,1.386093780749999860e+05,2.079140671124999644e+05,2.769849957911399542e+05
4.825419576250000318e+03,2.412709788124999977e+04,4.818987946285000362e+04,7.195016368167000473e+04,9.560939970701999846e+04
2.426544965509999656e+03,1.177270062297999903e+04,2.327288659409000320e+04,3.465325795749999816e+04,4.589100693344998581e+04
1.396049615229999472e+04,6.980248076149997360e+04,1.396049615229999763e+05,2.094074422844999935e+05,2.792099230460000108e+05
2.548395232665000003e+04,1.274197616332500183e+05,2.548395232665000076e+05,3.822592848997500259e+05,5.096790465330000152e+05
5.400215647820000595e+04,2.700107823910000152e+05,5.395283723806999624e+05,8.085312810791998636e+05,1.077534189777699765e+06
1.531946848139999929e+04,7.659734240699998918e+04,1.531946848139999784e+05,2.297920272209999675e+05,3.060385945096799405e+05
1.062015575700000227e+03,5.068441564599999765e+03,1.001947848960000192e+04,1.497051541460000226e+04,1.992155233959999896e+04
1.977254601814999842e+04,9.861210599874999025e+04,1.960918284970000095e+05,2.935603034970498993e+05,3.897158550713400473e+05
7.535963010540000141e+03,3.596943698633999884e+04,7.051211200290999841e+04,1.046844591946199944e+05,1.388420122808699962e+05
1.076005088078499830e+04,5.233235064471499936e+04,1.029738302168399969e+05,1.527113231987649924e+05,2.019957683681600611e+05
2.316043165474999842e+04,1.158021582737499994e+05,2.316043165474999696e+05,3.474064748212500126e+05,4.632086330949999974e+05
8.703139915270001438e+03,4.279481272362999880e+04,8.490542212257999927e+04,1.268201896243600058e+05,1.687147248018599930e+05
6.707052777949998926e+03,3.353526388975000009e+04,6.707052777949998563e+04,1.006057916692500003e+05,1.341410555590000004e+05
5.226016376989999844e+04,2.607036478694999823e+05,5.180557644930000533e+05,7.728948100431300700e+05,1.026511226899719913e+06
4.267079349650000040e+03,2.062394516406000184e+04,4.070133306460000313e+04,6.058784679545000108e+04,8.035924574319001113e+04
2.440015103149999777e+04,1.220007551574999961e+05,2.440015103149999632e+05,3.660022654725000029e+05,4.880030206299999845e+05
