UserId,ItemId,Rating
1,255,2.0
1,266,1.0
1,102,2.0
1,124,5.0
1,123,4.0
1,169,5.0
1,98,4.0
1,184,4.0
1,75,4.0
1,203,4.0
1,145,2.0
1,166,5.0
1,92,3.0
1,157,4.0
1,128,4.0
1,226,3.0
1,176,5.0
1,10,3.0
1,178,5.0
1,199,4.0
1,182,4.0
1,149,2.0
1,164,3.0
1,205,3.0
1,74,1.0
1,175,5.0
1,134,4.0
1,232,3.0
1,1,5.0
1,18,4.0
1,256,4.0
1,21,1.0
1,121,4.0
1,99,3.0
1,31,3.0
1,224,5.0
1,192,4.0
1,116,3.0
1,201,3.0
1,179,3.0
1,194,4.0
1,65,4.0
1,247,1.0
1,129,5.0
1,244,2.0
1,52,4.0
1,162,4.0
1,48,5.0
1,112,1.0
1,38,3.0
1,216,5.0
1,270,5.0
1,200,3.0
1,188,3.0
2,292,4.0
2,294,1.0
2,312,3.0
2,310,4.0
2,280,3.0
2,269,4.0
2,295,4.0
2,287,3.0
2,25,4.0
2,1,4.0
2,291,3.0
2,290,3.0
3,329,4.0
3,294,2.0
3,317,2.0
3,334,3.0
3,333,2.0
3,321,5.0
3,339,3.0
3,302,2.0
3,355,3.0
3,342,4.0
3,331,4.0
4,328,3.0
4,303,5.0
4,50,5.0
4,361,5.0
4,356,3.0
5,24,4.0
5,391,4.0
5,451,1.0
5,371,1.0
5,183,4.0
5,374,3.0
5,162,1.0
5,167,2.0
5,413,3.0
5,426,3.0
5,443,4.0
5,181,5.0
5,450,1.0
5,384,3.0
5,241,1.0
5,172,5.0
5,379,3.0
5,235,4.0
5,437,1.0
5,383,3.0
5,29,4.0
5,17,4.0
5,234,2.0
5,406,1.0
5,449,2.0
5,243,1.0
5,387,3.0
5,40,4.0
5,250,3.0
5,230,3.0
5,163,5.0
5,210,3.0
5,63,1.0
5,442,1.0
5,438,1.0
6,470,3.0
6,511,5.0
6,501,5.0
6,538,2.0
6,200,3.0
6,491,4.0
6,504,3.0
6,153,4.0
6,95,2.0
6,488,5.0
6,475,5.0
6,318,4.0
6,519,5.0
6,9,4.0
6,173,5.0
6,512,4.0
6,477,1.0
6,527,4.0
6,19,4.0
6,482,4.0
6,204,3.0
6,191,4.0
6,79,3.0
6,493,5.0
6,464,2.0
6,165,5.0
6,14,5.0
6,476,1.0
6,272,4.0
6,306,4.0
6,189,3.0
6,499,4.0
6,174,4.0
6,242,4.0
6,213,4.0
6,516,4.0
6,481,5.0
6,303,3.0
6,308,3.0
6,309,2.0
6,524,3.0
6,64,4.0
7,436,5.0
7,613,4.0
7,648,5.0
7,234,5.0
7,357,5.0
7,200,5.0
7,599,1.0
7,186,4.0
7,646,5.0
7,168,5.0
7,135,5.0
7,529,2.0
7,139,3.0
7,521,5.0
7,212,1.0
7,288,4.0
7,294,1.0
7,431,4.0
7,519,4.0
7,598,3.0
7,389,4.0
7,188,5.0
7,435,5.0
7,132,5.0
7,136,5.0
7,677,3.0
7,228,4.0
7,631,4.0
7,601,5.0
7,440,1.0
7,637,4.0
7,585,4.0
7,219,1.0
7,620,4.0
7,144,5.0
7,156,5.0
7,496,5.0
7,125,4.0
7,44,5.0
7,171,3.0
7,608,4.0
7,8,5.0
7,683,4.0
7,448,3.0
7,667,5.0
7,447,5.0
7,465,4.0
7,576,5.0
7,544,3.0
7,593,5.0
7,527,5.0
7,651,5.0
7,507,5.0
7,205,5.0
7,676,3.0
7,223,5.0
7,384,3.0
7,550,4.0
7,588,4.0
7,552,4.0
7,226,5.0
7,79,4.0
7,161,3.0
7,185,5.0
7,675,5.0
7,498,5.0
7,47,5.0
7,487,3.0
7,317,4.0
7,556,3.0
7,187,4.0
7,505,3.0
7,387,3.0
7,86,4.0
7,73,3.0
7,514,2.0
7,652,3.0
7,416,5.0
7,264,4.0
7,177,4.0
7,207,4.0
8,338,4.0
8,174,5.0
8,294,3.0
8,82,5.0
8,89,4.0
8,96,3.0
8,188,5.0
8,195,5.0
8,341,2.0
8,518,4.0
8,684,4.0
8,79,4.0
9,691,5.0
9,527,3.0
9,521,4.0
9,6,5.0
10,48,4.0
10,127,5.0
10,698,4.0
10,511,4.0
10,629,4.0
10,606,5.0
10,414,4.0
10,129,4.0
10,704,3.0
10,495,4.0
10,22,5.0
10,357,5.0
10,604,4.0
10,602,5.0
10,124,5.0
10,702,3.0
10,134,5.0
10,133,5.0
10,582,4.0
10,180,5.0
10,205,5.0
10,12,5.0
10,432,4.0
10,486,4.0
10,615,4.0
10,192,4.0
10,510,5.0
10,475,4.0
10,273,4.0
10,696,4.0
10,69,4.0
10,496,5.0
10,238,4.0
10,525,5.0
10,470,4.0
10,697,3.0
10,319,3.0
11,312,4.0
11,433,4.0
11,414,3.0
11,646,3.0
11,699,4.0
11,222,3.0
11,176,3.0
11,86,4.0
11,428,4.0
11,175,3.0
11,90,2.0
11,745,5.0
11,88,3.0
11,527,4.0
11,743,2.0
11,47,4.0
11,731,4.0
11,749,5.0
11,526,3.0
11,15,5.0
11,173,5.0
11,24,3.0
11,558,3.0
11,204,3.0
11,318,5.0
11,211,3.0
11,524,4.0
11,29,3.0
11,721,3.0
11,42,3.0
11,9,5.0
11,8,4.0
11,356,4.0
11,52,3.0
11,317,4.0
11,367,3.0
12,143,5.0
12,161,5.0
12,132,5.0
12,328,4.0
12,170,4.0
12,591,5.0
12,4,5.0
12,202,4.0
12,708,3.0
12,172,4.0
13,530,5.0
13,78,1.0
13,687,1.0
13,739,4.0
13,476,2.0
13,853,1.0
13,826,5.0
13,127,5.0
13,339,3.0
13,506,5.0
13,873,1.0
13,305,4.0
13,531,3.0
13,110,3.0
13,225,2.0
13,836,2.0
13,216,3.0
13,851,5.0
13,572,2.0
13,450,3.0
13,747,4.0
13,526,3.0
13,830,1.0
13,428,5.0
13,205,2.0
13,491,4.0
13,746,3.0
13,565,1.0
13,756,2.0
13,391,3.0
13,430,5.0
13,675,5.0
13,493,5.0
13,419,3.0
13,786,3.0
13,367,3.0
13,918,3.0
13,202,5.0
13,488,3.0
13,319,4.0
13,165,3.0
13,848,5.0
13,394,2.0
13,167,4.0
13,269,2.0
13,539,1.0
13,694,4.0
13,316,5.0
13,507,1.0
13,440,1.0
13,839,1.0
13,841,1.0
13,306,3.0
13,39,3.0
13,233,4.0
13,875,1.0
13,502,5.0
13,881,2.0
13,191,3.0
13,87,5.0
13,559,1.0
13,69,4.0
13,754,4.0
13,4,5.0
13,549,4.0
13,900,5.0
13,892,3.0
13,505,3.0
13,109,4.0
13,576,3.0
13,45,3.0
13,847,4.0
13,194,5.0
13,471,1.0
13,323,3.0
13,243,3.0
13,629,1.0
13,328,3.0
13,132,4.0
13,474,4.0
13,135,5.0
13,25,1.0
13,201,1.0
13,807,1.0
13,523,4.0
13,553,2.0
13,382,1.0
13,427,5.0
13,51,3.0
13,271,1.0
13,770,4.0
13,141,2.0
13,798,2.0
13,227,5.0
13,345,4.0
13,320,1.0
13,355,3.0
13,418,2.0
13,837,4.0
13,358,3.0
13,888,2.0
13,118,4.0
13,910,2.0
13,668,1.0
13,294,2.0
13,885,1.0
13,441,1.0
13,195,3.0
13,893,3.0
13,638,3.0
13,181,5.0
13,520,4.0
13,828,1.0
13,856,5.0
13,190,4.0
13,260,1.0
13,210,3.0
13,800,1.0
13,867,5.0
13,472,5.0
13,340,2.0
13,263,5.0
13,818,3.0
13,99,4.0
13,481,3.0
13,890,1.0
13,9,3.0
14,191,4.0
14,313,2.0
14,202,3.0
14,195,5.0
14,269,4.0
14,813,2.0
14,7,5.0
14,654,4.0
14,288,4.0
14,238,5.0
14,474,4.0
14,285,5.0
14,275,4.0
14,111,3.0
14,116,5.0
14,382,5.0
14,603,4.0
14,204,5.0
14,121,3.0
14,530,5.0
15,742,2.0
15,591,2.0
15,220,4.0
15,749,1.0
15,471,4.0
15,286,2.0
15,845,2.0
15,323,1.0
15,125,5.0
15,280,3.0
15,678,1.0
15,13,1.0
15,1,1.0
15,685,4.0
15,926,1.0
15,275,4.0
15,937,4.0
15,411,2.0
15,476,4.0
15,823,2.0
15,473,1.0
16,33,2.0
16,654,5.0
16,657,5.0
16,195,5.0
16,294,4.0
16,531,5.0
16,693,4.0
16,151,5.0
16,410,5.0
16,191,5.0
16,655,5.0
16,603,5.0
16,228,5.0
16,15,5.0
16,95,5.0
16,158,4.0
16,240,4.0
16,100,5.0
16,321,3.0
16,64,5.0
16,96,5.0
16,109,4.0
16,482,5.0
16,943,3.0
16,27,2.0
16,479,5.0
16,427,5.0
16,127,5.0
17,117,3.0
17,286,3.0
17,508,3.0
17,744,3.0
17,151,4.0
17,237,2.0
18,152,3.0
18,954,3.0
18,287,4.0
18,724,4.0
18,716,5.0
18,434,3.0
18,209,4.0
18,423,5.0
18,236,3.0
18,48,4.0
18,530,4.0
18,284,3.0
18,607,3.0
18,485,5.0
18,275,5.0
18,79,4.0
18,519,4.0
18,523,4.0
18,704,3.0
18,614,4.0
18,414,4.0
18,100,5.0
18,921,5.0
18,42,3.0
18,602,3.0
18,237,3.0
18,512,5.0
18,498,4.0
18,451,3.0
18,973,3.0
18,56,5.0
18,524,4.0
18,504,5.0
18,61,4.0
18,69,3.0
18,283,5.0
18,403,3.0
18,528,4.0
18,856,5.0
18,64,5.0
18,951,3.0
18,213,5.0
18,378,3.0
18,200,3.0
18,241,3.0
18,212,5.0
18,317,5.0
18,482,5.0
18,529,5.0
18,1,5.0
18,168,3.0
18,8,5.0
18,132,5.0
18,479,4.0
18,45,5.0
19,435,5.0
19,201,3.0
19,655,3.0
19,310,4.0
20,378,3.0
20,172,3.0
20,274,4.0
20,405,3.0
20,181,4.0
20,357,1.0
20,633,4.0
20,210,4.0
20,151,3.0
20,186,3.0
21,928,3.0
21,931,2.0
21,453,2.0
21,200,5.0
21,800,1.0
21,413,2.0
21,628,3.0
21,243,2.0
21,439,1.0
21,328,3.0
21,678,2.0
21,201,5.0
21,264,3.0
21,379,3.0
21,295,3.0
21,995,2.0
21,443,4.0
21,320,3.0
21,853,5.0
21,262,4.0
21,991,2.0
21,436,4.0
